Identifier,Occurrence Date,Offense,Offense Classification,longitude,latitude
aae098f0,10/02/2015 12:11:00 PM,GRAND LARCENY,FELONY,-73.937421669,40.804384046
d71bac4b,09/06/2015 02:00:00 AM,FELONY ASSAULT,FELONY,-73.943257966,40.703707008
ea9926ff,12/10/2015 04:45:00 PM,FELONY ASSAULT,FELONY,-73.973083376,40.761311039
ae713901,12/01/2015 02:30:00 PM,GRAND LARCENY,FELONY,-73.962534952,40.717573206
ab905411,02/13/2015 12:01:00 AM,GRAND LARCENY,FELONY,-73.949519882,40.65030209
6032359b,02/13/2015 12:01:00 AM,GRAND LARCENY,FELONY,-73.958538808,40.658196944
de9877f1,02/13/2015 12:01:00 AM,GRAND LARCENY,FELONY,-73.965057232,40.757515648
c42f41f7,02/13/2015 12:01:00 AM,GRAND LARCENY,FELONY,-73.892631876,40.824307915
7776c45d,02/13/2015 12:15:00 AM,ROBBERY,FELONY,-73.958585458,40.681749896
c6c5e86f,02/13/2015 12:15:00 AM,GRAND LARCENY,FELONY,-73.98375022,40.731856386
a9b49f7c,02/13/2015 12:15:00 AM,GRAND LARCENY,FELONY,-73.971115467,40.762655487
a7e893d3,02/13/2015 12:30:00 AM,GRAND LARCENY,FELONY,-74.004194825,40.742581206
ed716ee4,02/13/2015 01:00:00 AM,FELONY ASSAULT,FELONY,-73.893176595,40.660542776
48db5157,02/13/2015 01:00:00 AM,GRAND LARCENY,FELONY,-73.906536424,40.90335364
f83631fd,02/13/2015 01:08:00 AM,BURGLARY,FELONY,-73.954515099,40.681438199
7f870862,02/13/2015 01:16:00 AM,ROBBERY,FELONY,-73.941289909,40.661417297
bbdac855,02/13/2015 01:30:00 AM,GRAND LARCENY,FELONY,-73.915730858,40.778778347
9c0f8a75,02/13/2015 02:00:00 AM,BURGLARY,FELONY,-73.901026145,40.643985023
2f9b62b,02/13/2015 02:00:00 AM,GRAND LARCENY,FELONY,-73.989390453,40.773083147
68ec08d7,02/13/2015 02:30:00 AM,FELONY ASSAULT,FELONY,-74.113825707,40.58017122
1059a111,02/13/2015 03:00:00 AM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.87006287,40.745252741
291105ef,02/13/2015 03:15:00 AM,GRAND LARCENY,FELONY,-73.989415087,40.731667658
