lsoa,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018
E01000001,129.38699272698267,152.74954650446355,110.54129504928731,169.86086888651562,173.03587995448805
E01000002,130.16605513515245,152.43444207319124,110.65758019099432,154.08867110775128,169.99924158915636
E01000003,132.5747659697385,155.40212894736572,116.59688979096369,158.13669942894023,175.10502304365494
E01000005,107.507521261051,115.48378444252396,99.06204432313754,85.44058878311691,82.00942860552698
E01000006,140.7022326458725,146.91403531381332,128.9821614111241,128.12888219178504,122.64468102916301
E01000007,121.31561353663417,152.47276496643198,136.29154721040348,136.40758034599008,131.61885881654393
E01000008,103.60574275277163,118.8229265129335,104.09429816363198,107.22032982590262,118.17824854282291
E01000009,122.05585071093128,136.85800364116386,123.76035333062605,120.56689598331552,111.65287669926536
E01000010,154.51390190342252,216.29406698427212,185.65098436950976,183.17884938620503,147.7696951112696
E01000011,107.78982595158375,126.32463306857338,116.12076875641915,115.5219419531604,107.38774135868015
E01000012,102.73950254069672,117.94207949500988,107.83526537485271,104.4707261569465,112.22882229905214
E01000013,218.81207565974495,211.71412014259892,249.8339786070799,230.1999776613304,244.96735151801946
E01000014,236.6189752042524,210.28289313900186,246.51914905288845,234.6664157504094,270.9627474705965
E01000015,191.56866424765582,181.96628740755045,210.04526531644896,200.87259150253175,209.0949241294285
E01000016,210.79071685554933,204.8138501122144,224.27672370784774,216.9767202503261,208.96890198890583
E01000017,232.1007698315514,218.8845802509914,248.0533918956814,236.49690616825,232.84287470900162
E01000018,207.39139902005647,198.799013846283,232.8035037848923,219.6868313766271,212.6126675407499
E01000019,193.6415856683187,218.16284566758074,292.13496959060774,235.21509833338467,522.41647015387
E01000020,214.43507297918617,245.2836614584873,321.2830537393203,258.867716175931,570.5247219204458
E01000021,194.3399385284818,177.51731223208643,204.71598417906407,194.5157396093977,277.66757756636963
E01000022,217.2703269329347,223.76158414694711,266.39786703509543,245.4539016912852,430.2865481106735
E01000023,208.61776831271126,176.2175434351856,197.77734620903507,197.81429069779506,227.90178974988564
E01000024,267.76744044433235,224.63194914306348,234.57000788033534,242.33609879027915,344.4891154405635
E01000025,282.6565825303824,213.67318155360965,227.23375265379624,244.61293960725044,294.5846441518883
E01000027,447.21615039127084,381.0802533845502,402.4375824860872,350.27864434745777,312.0858088846218
E01000028,419.3293284270691,358.98857594270993,383.9224208978003,334.87930651166863,305.65388341735826
E01000029,364.97613757325297,295.335200481311,291.4918955214388,270.39916373954304,258.6143427797647
E01000030,446.1080484107685,362.54689416431825,389.95577111551086,342.072227939429,312.499908520374
E01000031,352.20293490290084,275.0926483377018,254.87303032144743,243.82538041822193,244.61443552158562
E01000032,362.5003624437647,286.9533614846635,261.03097017954286,246.07776843578063,255.39722137922507
E01000033,213.4268618137658,210.82924916142423,214.58793249839513,212.98177256554067,223.89930196252945
E01000034,211.3772701244864,220.66905766634792,226.48948858286107,230.70383139514342,242.8696431485551
E01000035,195.09877593192584,196.22805264835398,217.9964969181366,218.27878710649037,214.1892149821508
E01000036,165.6077800174567,174.61858403099882,193.897033025519,202.56465006524536,190.02310880088893
E01000037,206.30006483418123,221.60991414777789,230.98425576543585,235.87626436543846,227.79565922850375
E01000038,202.41333203746808,224.30770419887102,230.7000071413893,230.5792343990536,222.8871157939319
E01000039,219.99948420610136,231.00136976006962,234.53868249865383,237.52644390553203,236.43782267413047
E01000040,155.83365767859215,154.2296693229964,148.35189064313437,177.26557168180793,173.41824726349049
E01000041,462.97912221734805,169.92993636125192,182.00611646300783,207.46079322296035,217.9595189362226
E01000042,192.72687867438628,170.79019313680345,172.65552294194055,182.85117808485887,213.80070421895073
E01000043,163.71271502329282,158.1258622055772,152.51233004657274,184.49854005092442,195.28334694390833
E01000044,125.13178533115484,123.30988377173084,117.98606212513903,151.99987766965842,125.59164056600558
E01000045,215.20470507004856,162.19908351794038,177.10182240478844,174.26557666527754,232.88344521542177
E01000046,509.27675386018973,181.08635358761097,188.32276250774567,218.81719984402096,228.19386206228577
E01000048,201.24728110897928,229.3295353303782,209.5430459443473,216.9075364507943,251.6150421534557
E01000049,182.14524267665533,210.70375008142972,196.15681927773542,199.3125321065233,216.85629666448185
E01000050,171.79735470092695,202.20937017017536,187.30853847954185,196.7546402250617,224.50455823232667
E01000051,197.027491209705,230.76719759965187,206.14291779592182,213.22613644922095,233.95720905962224
E01000052,153.92139941226512,178.6610796819632,167.7794854210362,179.59811148246214,205.40943954056496
E01000053,188.6636222275937,153.23856051313305,216.74081235176408,223.34003005982993,223.94743087159162
E01000054,254.1556131060825,160.2736329969879,182.01662538565432,181.57665196987244,226.58528537503844
E01000055,406.5480270596479,170.06574259259423,181.41579470182515,198.38047486116864,222.07512039007887
E01000056,181.84210129431318,149.2378744253512,194.19840772206075,191.45362833948613,223.49672683056275
E01000057,531.6821783171188,176.7151377468897,183.5429248422912,212.15164668444902,219.32262205130615
E01000058,227.04721809280923,176.28319781039528,231.10600495315074,194.27073303770774,219.06590064043274
E01000059,189.72009949363863,172.18019156859847,232.64694608043118,204.6784028007224,216.40144460947107
E01000060,206.06300505458302,203.31275957889756,211.26200373578922,210.31204866987795,218.74479785431865
E01000061,195.63343704743565,198.7619561219123,201.35482041887997,199.68850865564448,224.06535028830749
E01000062,210.81876714866033,202.79090068504502,210.64013603955857,210.11813241038996,215.08851308681216
E01000063,236.76963936492697,222.74210156283667,229.70260001728005,233.05323008505286,242.25926026453476
E01000064,206.02747501082646,199.89485567102562,205.9609191783495,202.38722478894763,201.41800446073015
E01000065,253.13582624749375,237.21515616935355,242.51609358714632,246.0259955606685,272.8987583651449
E01000066,188.36697985134742,182.79414732323883,170.99022910298447,166.17886719855102,177.2465531531466
